trial,mode,binary_outcome,continuous_outcome,steps_taken,x,y,table_height,camera_azimuth,camera_elevation,camera_distance
1,initial_random,0.0,2.5,35,0.7000000000000001,0.5,2.0,-30.0,30.0,102.0
2,initial_random,0.0,1.0,35,0.2,0.6000000000000001,2.0,15.0,30.0,103.0
3,initial_random,1.0,3.0,9,0.5,0.3,3.0,-30.0,30.0,102.0
4,initial_random,0.0,1.0,35,0.5,0.4,1.0,15.0,30.0,103.0
5,initial_random,0.0,1.0,35,0.7000000000000001,0.7000000000000001,1.0,90.0,70.0,84.0
6,initial_random,0.0,1.0,35,0.9,1.0,1.0,90.0,70.0,84.0
7,initial_random,1.0,3.0,11,0.7000000000000001,0.8,2.0,-30.0,30.0,102.0
8,initial_random,0.0,2.5,35,0.3,0.1,3.0,-30.0,30.0,102.0
9,initial_random,0.0,2.5,35,0.4,0.4,2.0,15.0,30.0,103.0
10,initial_random,0.0,2.5,35,1.0,0.8,2.0,15.0,30.0,103.0
11,initial_random,0.0,0.0,35,0.0,0.1,3.0,15.0,30.0,103.0
12,initial_random,0.0,1.5,35,0.5,0.9,3.0,-30.0,30.0,102.0
13,initial_random,0.0,0.5,35,0.0,0.6000000000000001,1.0,90.0,70.0,84.0
14,initial_random,0.0,0.5,35,0.2,0.7000000000000001,1.0,-30.0,30.0,102.0
15,initial_random,0.0,2.5,35,0.3,0.3,3.0,90.0,70.0,84.0
16,initial_random,0.0,1.0,35,0.0,0.0,2.0,-30.0,30.0,102.0
17,initial_random,0.0,0.5,35,0.0,0.4,2.0,15.0,30.0,103.0
18,initial_random,0.0,2.0,35,1.0,0.7000000000000001,2.0,90.0,70.0,84.0
19,initial_random,0.0,0.0,35,0.0,0.7000000000000001,3.0,-30.0,30.0,102.0
20,initial_random,0.0,1.0,35,0.2,0.6000000000000001,3.0,15.0,30.0,103.0
21,initial_random,0.0,0.0,35,0.0,0.6000000000000001,1.0,15.0,30.0,103.0
22,initial_random,0.0,1.5,35,0.9,0.9,2.0,90.0,70.0,84.0
23,initial_random,0.0,0.0,35,0.2,1.0,1.0,90.0,70.0,84.0
24,initial_random,0.0,2.0,35,0.7000000000000001,0.4,2.0,90.0,70.0,84.0
25,initial_random,0.0,0.0,35,0.0,0.7000000000000001,2.0,-30.0,30.0,102.0
26,initial_random,0.0,1.0,35,0.9,0.9,1.0,90.0,70.0,84.0
27,initial_random,0.0,2.5,35,0.7000000000000001,1.0,3.0,15.0,30.0,103.0
28,initial_random,0.0,2.5,35,0.7000000000000001,0.9,3.0,15.0,30.0,103.0
29,initial_random,0.0,0.5,35,0.4,0.8,2.0,15.0,30.0,103.0
30,initial_random,0.0,1.0,35,0.7000000000000001,1.0,1.0,15.0,30.0,103.0
31,active,0.0,1.0,35,0.9,0.6000000000000001,1.0,-30.0,30.0,102.0
32,active,0.0,2.5,35,0.1,0.6000000000000001,3.0,90.0,70.0,84.0
33,active,0.0,0.0,35,0.1,1.0,3.0,90.0,70.0,84.0
34,active,0.0,1.0,35,0.2,0.0,2.0,-30.0,30.0,102.0
35,active,0.0,1.0,35,0.0,0.0,1.0,-30.0,30.0,102.0
36,active,1.0,3.0,10,0.2,0.0,3.0,15.0,30.0,103.0
37,active,1.0,3.0,8,0.2,0.2,2.0,15.0,30.0,103.0
38,active,0.0,1.0,35,0.0,0.5,2.0,90.0,70.0,84.0
39,active,0.0,2.5,35,0.3,0.1,2.0,-30.0,30.0,102.0
40,active,0.0,2.0,35,0.8,1.0,2.0,15.0,30.0,103.0
41,active,0.0,1.0,35,0.1,0.4,2.0,90.0,70.0,84.0
42,active,0.0,0.0,35,0.5,1.0,3.0,15.0,30.0,103.0
43,active,0.0,1.0,35,0.0,0.0,2.0,90.0,70.0,84.0
44,active,0.0,1.0,35,0.1,0.0,2.0,15.0,30.0,103.0
45,active,0.0,0.5,35,0.0,0.0,1.0,90.0,70.0,84.0
46,active,0.0,1.0,35,0.0,0.0,3.0,90.0,70.0,84.0
47,active,0.0,2.5,35,0.2,0.0,2.0,15.0,30.0,103.0
48,active,1.0,3.0,8,0.1,0.0,3.0,-30.0,30.0,102.0
49,active,0.0,1.0,35,0.0,0.5,3.0,90.0,70.0,84.0
50,active,0.0,1.0,35,1.0,0.9,1.0,15.0,30.0,103.0
51,active,0.0,2.0,35,0.3,0.1,2.0,90.0,70.0,84.0
52,active,1.0,3.0,6,0.1,0.2,3.0,90.0,70.0,84.0
53,active,0.0,1.5,35,0.2,0.4,3.0,-30.0,30.0,102.0
54,active,0.0,1.0,35,0.0,0.3,3.0,90.0,70.0,84.0
55,active,0.0,0.0,35,0.0,1.0,1.0,15.0,30.0,103.0
56,active,0.0,1.5,35,0.1,0.2,2.0,-30.0,30.0,102.0
57,active,0.0,1.0,35,0.1,0.1,1.0,90.0,70.0,84.0
58,active,0.0,2.0,35,0.2,0.0,2.0,90.0,70.0,84.0
59,active,0.0,2.0,35,1.0,0.6000000000000001,3.0,90.0,70.0,84.0
60,active,0.0,1.0,35,1.0,0.9,1.0,90.0,70.0,84.0
61,active,0.0,1.0,35,1.0,0.7000000000000001,1.0,-30.0,30.0,102.0
62,active,0.0,1.0,35,0.7000000000000001,0.8,2.0,90.0,70.0,84.0
63,active,0.0,1.0,35,0.7000000000000001,1.0,1.0,90.0,70.0,84.0
64,active,0.0,1.0,35,0.3,0.4,2.0,90.0,70.0,84.0
65,active,0.0,2.5,35,0.8,0.6000000000000001,1.0,-30.0,30.0,102.0
66,active,0.0,1.0,35,0.0,0.1,3.0,90.0,70.0,84.0
67,active,0.0,2.5,35,0.7000000000000001,0.4,3.0,90.0,70.0,84.0
68,active,0.0,1.0,35,0.9,1.0,2.0,90.0,70.0,84.0
69,active,0.0,1.0,35,1.0,1.0,1.0,90.0,70.0,84.0
70,active,0.0,1.0,35,0.8,1.0,1.0,90.0,70.0,84.0
71,active,0.0,1.0,35,0.4,0.6000000000000001,3.0,15.0,30.0,103.0
72,active,0.0,1.0,35,1.0,0.8,1.0,90.0,70.0,84.0
73,active,0.0,1.0,35,0.8,1.0,2.0,90.0,70.0,84.0
74,active,0.0,1.0,35,0.8,0.9,1.0,90.0,70.0,84.0
75,active,0.0,1.0,35,0.0,0.2,3.0,90.0,70.0,84.0
76,active,1.0,3.0,10,0.1,0.0,2.0,90.0,70.0,84.0
77,active,0.0,1.0,35,0.7000000000000001,0.9,1.0,90.0,70.0,84.0
78,active,0.0,1.0,35,0.7000000000000001,0.8,1.0,90.0,70.0,84.0
79,active,0.0,1.0,35,0.5,0.8,1.0,90.0,70.0,84.0
80,active,0.0,1.0,35,0.9,0.8,1.0,90.0,70.0,84.0
81,active,0.0,1.0,35,1.0,0.7000000000000001,1.0,90.0,70.0,84.0
82,active,0.0,1.0,35,0.6000000000000001,1.0,1.0,90.0,70.0,84.0
83,active,0.0,0.0,35,0.5,1.0,1.0,90.0,70.0,84.0
84,active,0.0,1.0,35,0.0,0.1,1.0,-30.0,30.0,102.0
85,active,0.0,1.0,35,0.9,0.7000000000000001,1.0,90.0,70.0,84.0
86,active,0.0,1.0,35,0.1,0.0,1.0,-30.0,30.0,102.0
87,active,0.0,1.0,35,0.4,0.2,1.0,15.0,30.0,103.0
88,active,0.0,1.0,35,0.9,1.0,1.0,15.0,30.0,103.0
89,active,0.0,1.0,35,1.0,1.0,1.0,15.0,30.0,103.0
90,active,0.0,1.0,35,0.1,0.0,1.0,15.0,30.0,103.0
91,active,0.0,1.0,35,0.9,0.8,1.0,15.0,30.0,103.0
92,active,0.0,1.0,35,1.0,0.7000000000000001,1.0,15.0,30.0,103.0
93,active,0.0,1.0,35,0.9,0.7000000000000001,1.0,15.0,30.0,103.0
94,active,0.0,1.0,35,1.0,0.8,1.0,15.0,30.0,103.0
95,active,0.0,1.0,35,0.9,0.9,1.0,15.0,30.0,103.0
96,active,1.0,3.0,9,0.1,0.0,3.0,15.0,30.0,103.0
97,active,0.0,1.0,35,0.8,0.8,1.0,90.0,70.0,84.0
98,active,0.0,1.0,35,0.3,0.1,1.0,-30.0,30.0,102.0
99,active,0.0,1.0,35,0.2,0.1,1.0,15.0,30.0,103.0
100,active,0.0,1.0,35,0.2,0.1,1.0,-30.0,30.0,102.0
