trial,mode,binary_outcome,continuous_outcome,steps_taken,x,y,table_height,camera_azimuth,camera_elevation,camera_distance
1,initial_random,1.0,3.0,12,1.0,0.7000000000000001,3.0,-30.0,30.0,102.0
2,initial_random,0.0,1.0,35,0.4,0.7000000000000001,2.0,15.0,30.0,103.0
3,initial_random,0.0,1.0,35,0.7000000000000001,0.7000000000000001,2.0,90.0,70.0,84.0
4,initial_random,0.0,2.0,35,0.1,0.4,3.0,-30.0,30.0,102.0
5,initial_random,0.0,1.0,35,0.6000000000000001,0.5,1.0,-30.0,30.0,102.0
6,initial_random,0.0,1.0,35,0.7000000000000001,1.0,1.0,-30.0,30.0,102.0
7,initial_random,0.0,1.5,35,0.9,0.9,2.0,90.0,70.0,84.0
8,initial_random,0.0,2.0,35,0.6000000000000001,0.8,3.0,15.0,30.0,103.0
9,initial_random,0.0,0.0,35,0.1,1.0,1.0,90.0,70.0,84.0
10,initial_random,0.0,2.5,35,0.9,0.8,3.0,15.0,30.0,103.0
11,initial_random,0.0,1.0,35,0.5,0.9,1.0,-30.0,30.0,102.0
12,initial_random,0.0,0.0,35,0.0,0.7000000000000001,3.0,15.0,30.0,103.0
13,initial_random,0.0,1.0,35,1.0,1.0,1.0,-30.0,30.0,102.0
14,initial_random,0.0,2.5,35,0.5,0.3,2.0,15.0,30.0,103.0
15,initial_random,0.0,1.5,35,0.2,0.3,2.0,15.0,30.0,103.0
16,active,0.0,1.0,35,0.0,0.0,3.0,90.0,70.0,84.0
17,active,0.0,0.5,35,0.0,0.0,1.0,90.0,70.0,84.0
18,active,0.0,0.0,35,0.0,1.0,3.0,90.0,70.0,84.0
19,active,0.0,1.0,35,0.0,0.0,1.0,-30.0,30.0,102.0
20,active,0.0,2.0,35,1.0,0.6000000000000001,3.0,90.0,70.0,84.0
21,active,0.0,1.0,35,1.0,0.7000000000000001,1.0,90.0,70.0,84.0
22,active,0.0,0.0,35,0.0,1.0,2.0,-30.0,30.0,102.0
23,active,0.0,0.5,35,0.0,0.0,3.0,-30.0,30.0,102.0
24,active,0.0,1.0,35,0.0,0.5,1.0,90.0,70.0,84.0
25,active,0.0,2.5,35,0.5,0.2,3.0,90.0,70.0,84.0
26,active,0.0,1.5,35,0.5,0.3,1.0,90.0,70.0,84.0
27,active,0.0,1.0,35,0.0,0.5,3.0,90.0,70.0,84.0
28,active,0.0,0.0,35,0.0,0.7000000000000001,1.0,-30.0,30.0,102.0
29,active,1.0,3.0,12,1.0,1.0,3.0,-30.0,30.0,102.0
30,active,0.0,1.0,35,0.6000000000000001,1.0,3.0,90.0,70.0,84.0
31,active,1.0,3.0,9,0.4,0.1,3.0,-30.0,30.0,102.0
32,active,0.0,1.0,35,0.6000000000000001,1.0,1.0,90.0,70.0,84.0
33,active,0.0,1.0,35,0.3,1.0,3.0,-30.0,30.0,102.0
34,active,0.0,1.0,35,1.0,0.7000000000000001,1.0,-30.0,30.0,102.0
35,active,0.0,1.0,35,0.3,0.1,1.0,-30.0,30.0,102.0
36,active,0.0,2.5,35,0.7000000000000001,0.4,3.0,-30.0,30.0,102.0
37,active,0.0,2.5,35,0.4,0.6000000000000001,3.0,90.0,70.0,84.0
38,active,0.0,2.0,35,0.2,0.0,2.0,90.0,70.0,84.0
39,active,0.0,0.0,35,0.3,1.0,2.0,90.0,70.0,84.0
40,active,0.0,1.0,35,0.3,0.6000000000000001,1.0,90.0,70.0,84.0
41,active,0.0,0.0,35,0.0,0.7000000000000001,2.0,90.0,70.0,84.0
42,active,0.0,1.5,35,0.7000000000000001,1.0,2.0,-30.0,30.0,102.0
43,active,1.0,3.0,11,0.8,0.5,2.0,-30.0,30.0,102.0
44,active,0.0,1.0,35,0.0,0.0,2.0,-30.0,30.0,102.0
45,active,0.0,1.5,35,1.0,1.0,2.0,-30.0,30.0,102.0
46,active,0.0,1.0,35,1.0,1.0,3.0,90.0,70.0,84.0
47,active,0.0,0.0,35,0.0,1.0,1.0,-30.0,30.0,102.0
48,active,0.0,1.0,35,0.0,0.2,2.0,90.0,70.0,84.0
49,active,0.0,0.0,35,0.0,0.5,2.0,-30.0,30.0,102.0
50,active,0.0,1.0,35,1.0,1.0,1.0,90.0,70.0,84.0
